10000 9999
1 2 3
1 3 5
1 21 8
1 780 7
1 1875 7
1 4313 4
1 9053 6
2 8 7
2 11 3
2 15 8
2 19 1
2 27 3
2 110 3
2 537 3
2 1138 4
2 3680 10
3 4 2
3 5 9
3 14 10
3 44 9
3 60 8
3 101 4
3 249 8
3 669 10
3 1194 10
3 1272 6
3 1433 6
3 3116 10
3 8282 2
4 12 1
4 13 4
4 35 8
4 103 10
4 334 5
4 371 8
4 3422 4
4 4670 8
4 6428 8
4 6563 7
4 9947 7
5 6 4
5 74 2
5 261 10
5 296 5
5 1202 9
5 4180 1
5 7130 9
6 7 9
6 9 10
6 34 9
6 2317 7
7 58 5
7 62 1
7 213 6
7 422 9
7 460 9
7 791 1
8 16 2
8 22 1
8 541 5
8 694 7
8 1220 4
8 2966 6
9 10 6
9 18 4
9 39 10
9 43 9
9 87 4
9 153 4
9 634 3
9 783 8
9 1378 1
10 68 5
10 1720 5
10 8736 5
11 20 3
11 178 8
12 17 2
12 359 2
12 518 2
12 2672 7
12 5528 1
13 38 4
13 560 10
13 3661 2
14 53 9
14 434 5
14 1121 6
14 3323 7
14 7435 3
15 57 9
15 91 8
15 128 10
15 248 5
15 302 2
15 844 3
15 856 6
15 1085 10
15 1946 2
15 7025 7
16 24 6
16 59 5
16 167 9
16 1687 9
16 2834 3
17 26 1
17 820 2
17 1820 8
18 31 1
18 95 2
18 407 7
18 424 10
18 513 10
18 797 1
18 1003 8
18 5369 4
19 48 4
19 50 1
19 392 5
19 2032 1
19 3144 2
19 4961 3
20 552 7
20 645 5
20 1623 3
20 1862 8
20 2510 4
20 8991 3
21 23 9
21 73 1
21 163 1
21 271 1
21 620 10
21 1106 3
21 1827 9
21 4319 9
21 4502 4
21 5871 7
22 33 2
22 47 6
22 55 2
22 3670 6
22 3736 2
23 25 3
23 29 7
23 32 3
23 85 9
23 184 9
23 229 2
23 3437 4
23 4385 7
23 7656 3
24 70 5
24 191 5
24 1581 4
24 2214 6
25 30 8
25 99 7
25 344 9
25 1083 10
25 1484 10
25 1610 8
25 4811 7
26 36 7
26 78 9
26 82 5
26 157 10
26 291 2
26 374 10
26 533 1
26 699 7
26 1327 4
26 1901 1
26 2754 4
26 2795 10
26 2921 5
26 5864 9
27 28 9
27 52 4
27 67 4
27 401 10
27 742 3
27 2215 8
27 3209 10
27 4666 5
27 5808 2
28 332 6
28 414 3
28 892 4
28 1009 4
28 2443 9
28 3020 3
29 71 3
29 88 5
29 138 1
29 3417 6
29 5399 4
29 9087 9
30 49 5
30 7703 7
31 65 8
31 280 7
31 1035 9
31 1434 5
32 40 10
32 72 6
32 195 10
32 385 10
32 386 10
32 1769 8
32 2115 7
33 146 2
33 151 7
33 189 4
33 397 1
33 693 1
33 3475 3
33 4010 8
33 5592 5
33 5613 7
33 5966 3
34 66 3
34 79 2
34 180 3
34 252 1
34 305 7
34 568 9
34 2269 10
34 4137 2
35 37 5
35 42 1
35 45 8
35 84 8
35 86 10
35 96 10
35 289 8
35 4033 5
36 130 10
36 240 9
36 477 4
36 1543 3
36 2094 7
36 2233 7
36 6722 2
36 7790 10
37 54 6
37 188 9
37 1381 10
38 1441 7
38 1979 6
38 5903 6
39 41 6
39 77 8
39 127 4
39 1387 10
40 76 2
40 89 4
40 740 10
40 1510 10
40 1534 4
40 2731 1
40 3079 6
41 83 10
41 215 2
41 235 8
41 487 1
41 1225 3
41 2378 9
41 4428 9
42 75 1
42 211 5
42 379 6
42 653 1
42 717 4
42 1104 8
42 2071 8
43 46 3
43 56 7
43 270 4
43 1763 4
43 2868 5
44 1258 4
44 4930 1
45 69 9
45 93 5
45 131 8
45 156 1
45 336 6
45 594 2
45 689 3
45 5268 1
46 160 2
46 427 6
46 1744 1
46 2146 2
46 3575 6
47 51 6
47 94 5
47 348 8
47 4865 3
47 8878 10
48 175 3
48 244 3
49 61 7
49 125 3
49 507 5
49 2383 4
49 4978 4
50 182 8
50 432 6
50 1090 5
50 1359 2
50 4650 6
51 98 4
51 102 8
51 193 3
51 482 9
51 737 2
51 3006 4
52 210 4
52 2540 5
52 2596 9
52 6070 3
53 134 4
53 281 3
53 295 4
53 376 3
53 2424 1
53 2698 8
53 2812 6
53 6035 5
53 9597 5
54 64 4
54 172 3
54 952 1
54 2820 8
55 4131 7
56 476 4
56 1038 1
56 2980 1
57 415 3
57 1443 10
57 1967 1
57 2001 6
57 8218 3
58 705 6
58 1944 8
58 2758 1
58 3113 3
58 4912 9
59 63 4
59 171 8
59 1554 1
60 550 10
60 866 2
61 80 10
61 364 3
61 384 3
61 394 3
61 1403 10
61 2977 6
61 4901 5
61 5107 9
62 136 6
62 217 5
62 2137 6
62 2505 3
63 259 7
63 338 1
63 794 3
63 1961 9
63 1997 2
63 2174 4
63 5052 8
