1000 999
1 2 6
1 4 2
1 11 5
1 21 3
1 28 10
1 64 10
1 111 1
1 119 5
1 367 5
1 479 6
1 679 4
2 3 7
2 7 10
2 16 3
2 33 9
2 129 7
2 363 4
2 437 10
2 928 10
3 5 3
3 6 2
3 12 4
3 19 7
3 22 5
3 51 10
3 255 8
3 689 1
4 13 1
4 14 9
4 113 4
4 132 5
4 400 1
5 23 7
5 36 10
5 38 3
5 50 6
5 155 6
6 9 8
6 54 2
6 174 6
7 8 8
7 20 10
7 40 10
7 107 7
7 208 10
8 24 2
8 30 6
8 32 4
8 37 7
8 60 9
8 74 10
9 10 3
9 122 5
10 96 6
10 140 8
10 291 8
10 319 6
10 449 1
10 515 4
11 17 10
11 151 3
11 182 7
11 497 1
12 18 1
12 25 10
12 27 6
12 63 2
13 15 6
13 936 4
14 44 5
14 56 6
14 58 1
14 79 6
14 125 2
14 202 8
14 235 3
14 249 4
15 53 4
15 106 10
15 282 10
15 317 6
16 78 9
17 29 10
17 42 9
17 167 2
17 213 1
17 328 10
17 652 6
17 783 3
17 950 6
18 39 8
18 41 2
18 131 6
18 226 6
18 346 2
18 991 5
19 71 4
19 87 10
19 171 4
19 281 5
19 348 7
19 443 4
20 45 7
20 239 2
21 59 1
21 61 3
21 82 9
21 88 2
21 311 8
22 35 5
22 80 9
22 92 9
22 200 3
23 26 10
23 47 7
23 104 1
23 163 4
23 709 8
24 49 3
24 81 10
24 108 4
25 34 3
25 117 1
25 134 3
25 170 4
25 927 4
26 85 9
26 238 3
26 728 6
27 55 1
27 83 2
27 166 4
27 593 1
28 31 8
28 69 6
28 148 3
28 980 10
29 180 5
29 759 10
29 770 10
30 254 9
30 977 8
31 116 7
32 142 9
32 214 8
33 145 5
33 184 2
33 287 10
33 614 7
34 57 6
34 95 2
34 755 4
35 179 2
35 540 3
36 48 6
36 109 6
36 115 2
36 141 3
36 250 6
37 114 6
37 303 2
38 296 9
38 313 3
40 136 8
40 138 4
40 236 6
40 747 1
40 910 4
41 43 8
41 154 1
41 326 4
42 52 6
42 272 5
42 478 8
43 46 5
43 130 9
43 162 1
43 241 2
43 439 6
44 124 5
44 404 8
44 498 3
44 597 9
45 86 3
45 514 10
45 587 2
47 65 7
47 67 4
47 90 5
47 462 10
47 541 2
47 546 7
47 840 8
47 946 2
48 222 5
48 286 5
49 72 9
49 91 5
49 275 3
49 788 6
49 872 2
50 627 2
51 68 2
51 98 6
51 959 4
52 158 10
52 647 6
52 968 3
53 169 3
53 191 8
54 127 4
54 293 10
55 101 9
55 186 6
56 62 3
56 767 2
57 118 2
57 649 8
58 499 10
59 100 9
59 110 3
59 267 1
59 469 3
60 93 5
60 898 4
61 344 4
61 851 9
62 73 7
62 161 1
62 384 3
63 66 6
63 75 5
63 336 1
63 569 5
64 172 10
64 176 5
64 225 1
64 300 5
64 420 5
64 446 2
64 581 9
64 912 2
65 97 5
65 628 6
66 99 9
66 302 2
67 70 2
67 246 8
67 633 5
68 112 7
68 137 1
68 284 3
70 77 3
71 290 4
71 376 5
71 445 4
72 152 8
72 209 2
72 354 2
73 103 7
73 205 8
73 523 5
74 233 6
