10000 28500
1 926 1
1 591 6
1 690 6
2 533 3
2 725 8
2 630 8
3 756 2
3 658 4
3 904 1
4 759 10
4 649 9
4 564 10
5 524 3
5 742 3
5 662 7
6 907 10
6 621 3
6 844 5
7 993 8
7 916 2
7 848 5
8 523 3
8 759 6
8 810 10
9 570 4
9 865 8
9 677 7
10 934 1
10 988 5
10 539 5
11 754 6
11 986 7
11 945 9
12 704 9
12 690 2
12 763 10
13 841 1
13 600 3
13 791 9
14 623 10
14 765 8
14 813 5
15 840 1
15 712 8
15 682 7
16 682 6
16 698 8
16 586 5
17 620 1
17 736 9
17 661 8
18 523 1
18 694 9
18 947 2
19 828 10
19 631 10
19 630 5
20 578 8
20 847 1
20 687 1
21 590 9
21 912 7
21 684 8
22 579 9
22 882 5
22 978 10
23 670 9
23 972 2
23 688 8
24 988 3
24 878 5
24 620 7
25 514 7
25 639 8
25 769 8
26 856 3
26 676 4
26 825 4
27 987 8
27 568 10
27 552 4
28 750 4
28 862 4
28 767 7
29 517 4
29 685 3
29 708 2
30 924 10
30 658 6
30 939 1
31 806 5
31 996 5
31 824 2
32 810 7
32 582 3
32 867 1
33 714 6
33 584 8
33 883 1
34 718 1
34 945 6
34 946 6
35 607 10
35 717 2
35 792 7
36 965 10
36 643 3
36 748 3
37 895 8
37 597 3
37 905 10
38 844 4
38 706 7
38 848 1
39 864 4
39 873 4
39 750 4
40 542 10
40 832 1
40 683 2
41 858 1
41 613 5
41 646 2
42 662 7
42 802 7
42 529 7
43 728 8
43 843 3
43 747 10
44 848 3
44 579 7
44 627 9
45 846 3
45 793 8
45 572 9
46 923 5
46 885 4
46 605 2
47 571 4
47 520 3
47 682 4
48 838 4
48 845 2
48 928 7
49 610 2
49 615 1
49 527 7
50 824 8
50 682 1
50 844 9
51 798 10
51 727 10
51 925 2
52 608 1
52 996 3
52 664 10
53 722 9
53 562 3
53 787 6
54 545 1
54 657 10
54 946 1
55 847 6
55 791 7
55 676 8
56 528 3
56 950 1
56 668 9
57 801 5
57 672 1
57 841 3
58 994 6
58 670 9
58 622 9
59 565 9
59 675 6
59 899 6
60 860 8
60 657 4
60 538 10
61 731 6
61 609 5
61 872 4
62 940 1
62 523 2
62 847 4
63 951 2
63 850 3
63 595 2
64 563 7
64 782 8
64 955 1
65 657 8
65 569 1
65 510 5
66 606 10
66 639 8
66 665 4
67 678 8
67 908 10
67 711 2
68 778 7
68 983 3
68 729 5
69 781 6
69 505 4
69 531 1
70 943 10
70 707 8
70 624 1
71 969 2
71 551 8
71 977 3
72 673 1
72 506 9
72 535 5
73 795 6
73 681 10
73 846 7
74 814 7
74 956 6
74 936 7
75 764 6
75 640 3
75 883 5
76 993 10
76 692 10
76 501 3
77 510 5
77 624 10
77 655 8
78 699 8
